date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:18:57	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.ea.delayed	(from https://www.jili17888.com/jili-slot-games/categories/100-free-bonus-casino-no-deposit)
09:18:58	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.eb.delayed	(from https://www.jili17888.com/jili-slot-games/categories/100-free-bonus-casino-no-deposit)
09:18:58	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.ec.delayed	(from https://www.jili17888.com/jili-slot-games/categories/100-free-bonus-casino-no-deposit)
09:18:58	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.ed.delayed	(from https://www.jili17888.com/jili-slot-games/categories/100-free-bonus-casino-no-deposit)
09:19:00	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.ee.delayed	(from https://www.jili17888.com/jili-slot-games/categories/best-fc-slot-game)
09:19:00	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.ef.delayed	(from https://www.jili17888.com/jili-slot-games/categories/best-fc-slot-game)
09:19:00	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.f0.delayed	(from https://www.jili17888.com/jili-slot-games/categories/best-fc-slot-game)
09:19:00	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.f1.delayed	(from https://www.jili17888.com/jili-slot-games/categories/best-fc-slot-game)
09:19:02	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.f2.delayed	(from https://www.jili17888.com/jili-slot-games/categories/game-that-pay-real-money-gcash)
09:19:03	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.f3.delayed	(from https://www.jili17888.com/jili-slot-games/categories/game-that-pay-real-money-gcash)
09:19:03	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.f4.delayed	(from https://www.jili17888.com/jili-slot-games/categories/game-that-pay-real-money-gcash)
09:19:03	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.f5.delayed	(from https://www.jili17888.com/jili-slot-games/categories/game-that-pay-real-money-gcash)
09:19:05	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.f6.delayed	(from https://www.jili17888.com/jili-slot-games/categories/jiliko-casino)
09:19:05	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.f7.delayed	(from https://www.jili17888.com/jili-slot-games/categories/jiliko-casino)
09:19:05	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.f8.delayed	(from https://www.jili17888.com/jili-slot-games/categories/jiliko-casino)
09:19:05	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.f9.delayed	(from https://www.jili17888.com/jili-slot-games/categories/jiliko-casino)
09:19:07	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.fa.delayed	(from https://www.jili17888.com/jili-slot-games/categories/jili777-casino)
09:19:08	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.fb.delayed	(from https://www.jili17888.com/jili-slot-games/categories/jili777-casino)
09:19:08	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.fc.delayed	(from https://www.jili17888.com/jili-slot-games/categories/jili777-casino)
09:19:08	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.fd.delayed	(from https://www.jili17888.com/jili-slot-games/categories/jili777-casino)
09:19:10	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.fe.delayed	(from https://www.jili17888.com/jili-slot-games/categories/jilibet-cash-casino)
09:19:10	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.ff.delayed	(from https://www.jili17888.com/jili-slot-games/categories/jilibet-cash-casino)
09:19:10	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.100.delayed	(from https://www.jili17888.com/jili-slot-games/categories/jilibet-cash-casino)
09:19:10	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.101.delayed	(from https://www.jili17888.com/jili-slot-games/categories/jilibet-cash-casino)
